,Unnamed: 0,Nama Pelanggan,Produk,Ulasan,Rating,label
0,0,Firdan,iPad Air 5 2022 M1 Chip 256GB 64GB CELL Cellular WIFI Only Apple,Mantap. Original,5,1
1,1,Choirul,Realme 10 4G 256GB 128GB Black White 8/256GB 8/128GB Garansi Resmi,barang ori,5,1
2,2,L***s,SPECIAL REQUEST CUSTOMER STUDIO PONSEL - HP TABLET WATCH,"Happy belanja di sini..
Thanks ya",5,1
3,3,R***I,RESMI Samsung Galaxy S23 5G 8/256GB Garansi SEIN 256,"packing aman, segel repack, ori. berfungsi dengan baik.",5,1
4,4,H***s,"Apple Macbook Pro 2021 M1 Pro 14"" RAM 16GB 512GB 1TB Resmi not M1X","Pengiriman instan aman ada live tracking, packing dipakein bubble wrap dikantongin dalam plastik hitam, setelah cek bbrap hari penggunaan aman smua fungsi normal, untuk g...",5,1
5,5,Daniel,"Macbook Pro M1 Pro Max 2021 1TB 512GB SSD 16"" & 14"" Inch RAM 32GB 16GB",Mantaaap,5,1
6,6,I***n,iBox Apple Watch Series 7 2021 45mm 45 Nike iWatch Not 6 SE 40 44,Ok,5,1
7,7,Oktiawan,RESMI Samsung Galaxy S23+ 5G 8/512GB Garansi SEIN 512 S 23 Plus,luar biasa istimewah,5,1
8,8,G***y,SPECIAL REQUEST CUSTOMER STUDIO PONSEL - HP TABLET WATCH,datang dengan aman. body hp masih bagus dg beberapa gores kecil gak terlihat. semua berfungsi normal minus BH tidak sesuai antara tampilan dan 3utools.,4,1
9,9,A***a,"Apple Macbook Pro 2021 M1 Pro 14"" RAM 16GB 512GB 1TB Resmi not M1X",Mantab,5,1
10,10,M***d,"KHUSUS JNE dan JNT Packing Kayu For Macbook / Laptop 15"" inch 16"" inch",Packing kayu bagus dan rapi. Pengiriman aman.,5,1
11,11,M***s,iPad Air 5 2022 M1 Chip 256GB 64GB CELL Cellular WIFI Only Apple,"Bagus dan recomended
Note : Lebih baik ambil self pick up dan jangan pakai kurir, hanya untuk lebih aman saja",5,1
12,12,K***a,Paket Hemat Tempered Glass + Silicon Case For iPad Pro 11 Inch,"sampai dengan selamat, packingnya bagus dan tebel. adminnya responsif dan baik. produknya pas dan bagus",5,1
13,13,m***d,Apple iPad Pro 11 inch 2021 M1 Chip Cellular 128GB 256GB 512GB 1TB 2TB,barang bagus packaging bagus overal luar biasa,5,1
14,14,A***a,Apple Macbook Air 2020 M1 Chip 13 inch 512GB Touch ID Grey Silver Gold,Udah kedua kali beli dr toko ini..recommended pokoknya!!,5,1
15,15,Hendy,IBOX Apple Watch Series 8 2022 41mm 45mm Silver Starlight Midnight Red,Bagus,5,1
16,16,Andi,Baseus 360 Degree Rotation Magnetic Mount Holder Stand Handphone HP,"Kualitasnya bagus, kokoh, lemkuat dan tahan guncangan",5,1
17,17,R***y,iPad Air 5 2022 M1 Chip 256GB 64GB CELL Cellular WIFI Only Apple,"sangat responsive. cepat pengiriman good service.
barang juga BNIB",5,1
18,18,T***g,"Amazon Kindle Paperwhite 11th Gen 6.8"" Inch 32GB 8GB E-Book Reader",Pengiriman barang cepat. Respon seller bagus. Barang sesuai deskripsi. Pasti beli lagi dari seller ini 👍,5,1
19,19,Aloysius,IBOX Apple AirPods Pro 2nd Gen 2022 MagSafe Charging Case Air Pods,"Goooodd, mode ***** ama transpar fungsi dengan baik.

Ori get pokok nya, cuman warranty tertulis sampai 2023 bulan 11",5,1
20,20,Aloysius,Apple MagSafe Battery Pack for iPhone 14 Plus Pro ProMax Powerbank,"Seperti powerbank pada umumnya cuman ini apple punya 😅.

Great product, makasih studio ponsel akhirnya impian puya ni barang tercapai",5,1
21,21,E***c,"Apple iPad Pro M2 2022 11"" Inch WiFi Only 128GB Space Grey Silver 128","Barang Oke, sesuai deskripsi. Pengiriman Next Day, datengnya Next Next Next Day. Udh gitu ga ada org di rumah main geletakin depan teras, padahal rumah ga ada pager, ga a...",4,1
22,22,Victor,Apple Magsafe Battery Pack For iPhone 12 mini Pro Max 1460mAh Original,Tidak ada ulasan,5,1
23,23,W***o,"Apple iPad Pro M2 2022 11"" Inch WiFi Only 128GB Space Grey Silver 128","barang bagus masih segel. tp dus agak penyok samping""nya. jd yg mau pesan mending pake packing kayu. krema penyok bukan dari tokonya.",5,1
24,24,i***a,Apple Macmini 2020 M1 Chip 8-Core 512GB 256GB MGNR3 MGNT3 SSD Mac Mini,Pengiriman super cepet. Padahal order udah jam 5 sore. Langsung dikirim. Masih segel. Blom tau performanya. First time pake mac mini,5,1
25,25,G***P,"Amazon Kindle Paperwhite 11th Gen 6.8"" Inch 32GB 8GB E-Book Reader","Barang diterima dengan baik! Dengan kondisi segel dan mulus.
Penjual baik, ramah dan responsif. 
Pengiriman cepat dan tepat!

Mantap🤘",5,1
26,26,M***i,iPad 9 2021 10.2 inch 64GB Wifi Only Gray Silver Apple 9th Gen,"Pengiriman super cepat, barang ori, semua bagus mantapp! Sukses selalu",5,1
27,27,Erwin,RESMI Samsung Galaxy S23 Ultra 5G 12/512GB SEIN,Tidak ada ulasan,5,1
28,28,Tommy,GoPro HERO 9 Black GoPro Hero9 Go Pro Hero Action Camera,Barang sesuai pesanan. Mulus. Semoga hasilnya juga ok. Kurir mantap,5,1
29,29,Valentinus,(IBOX) Apple Airpods Gen 3 Wireless Case Airpod Sup iPhone 13 Pro 2,"keren parah, barang original 💯, pengiriman cepat banget buset 💯, pokoknya puas bgt, bakal saya rekomendasikan ke kolega🫡",5,1
